timestamps,pupil_size,pupil_x,pupil_y,message
2017-06-25 11:31:15.040,16.77145,982.0087,503.141,
2017-06-25 11:31:15.057,17.0239,982.8051,505.6143,
2017-06-25 11:31:15.074,16.9089,984.4404,506.2258,
2017-06-25 11:31:15.090,16.75505,985.2659,503.4566,
2017-06-25 11:31:15.107,16.8012,986.5188,499.8546,
2017-06-25 11:31:15.124,16.78215,986.6874,497.806,
2017-06-25 11:31:15.140,17.27885,988.8909,498.0158,
2017-06-25 11:31:15.157,16.85,988.9337,496.0919,
2017-06-25 11:31:15.173,17.0006,989.43,493.1076,
2017-06-25 11:31:15.190,16.93945,990.1794,490.8302,
2017-06-25 11:31:15.207,17.1742,990.8105,491.326,
2017-06-25 11:31:15.223,17.25795,988.5313,489.9323,
2017-06-25 11:31:15.240,17.1792,987.8286,490.3304,
2017-06-25 11:31:15.256,17.025,988.4047,489.0157,
2017-06-25 11:31:15.273,17.6929,989.0085,489.6699,
2017-06-25 11:31:15.290,16.8134,990.2285,491.709,
2017-06-25 11:31:15.306,16.83215,987.8953,494.338,
2017-06-25 11:31:15.323,16.88465,987.3332,495.803,
2017-06-25 11:31:15.340,16.5999,987.6042,494.8825,
2017-06-25 11:31:15.356,16.6176,986.4207,492.4814,
2017-06-25 11:31:15.373,17.0125,987.1484,491.9243,
2017-06-25 11:31:15.389,17.1948,986.7358,492.2387,
2017-06-25 11:31:15.406,16.9315,987.8239,492.3497,
2017-06-25 11:31:15.423,17.14045,988.154,493.2513,
2017-06-25 11:31:15.440,17.05875,987.8789,493.0231,
2017-06-25 11:31:15.456,17.01885,987.8849,493.9486,
2017-06-25 11:31:15.473,17.3068,987.5658,494.4333,
2017-06-25 11:31:15.489,17.1132,988.8619,494.6847,
2017-06-25 11:31:15.506,17.2361,988.764,494.7496,
2017-06-25 11:31:15.523,17.16765,990.0461,495.4591,
2017-06-25 11:31:15.539,17.20275,990.3508,496.7061,
2017-06-25 11:31:15.556,17.62925,991.2315,499.076,
2017-06-25 11:31:15.573,17.3354,992.5281,499.6932,
2017-06-25 11:31:15.589,17.081,990.3208,498.3949,
2017-06-25 11:31:15.606,17.03945,989.7873,495.456,
2017-06-25 11:31:15.623,17.55545,989.0078,496.5903,
2017-06-25 11:31:15.639,17.25995,987.154,494.4472,
2017-06-25 11:31:15.656,17.2919,987.6227,495.5384,
2017-06-25 11:31:15.672,17.1496,988.0107,493.351,
2017-06-25 11:31:15.689,17.7318,987.7184,495.3792,
2017-06-25 11:31:15.706,17.572,987.5157,498.9725,
2017-06-25 11:31:15.723,17.89275,987.099,498.1891,
2017-06-25 11:31:15.739,17.45365,984.6195,499.5095,
2017-06-25 11:31:15.756,17.84605,980.8873,500.8124,
2017-06-25 11:31:15.773,17.66435,978.7761,503.6926,
2017-06-25 11:31:15.789,17.823,975.0753,506.6682,
2017-06-25 11:31:15.806,17.9207,972.3594,507.4999,
2017-06-25 11:31:15.822,17.55225,969.0757,508.2967,
2017-06-25 11:31:15.839,17.70505,966.7933,509.8405,
2017-06-25 11:31:15.856,17.5629,963.6312,510.5672,
2017-06-25 11:31:15.872,17.60445,961.067,509.3264,
2017-06-25 11:31:15.889,17.7321,958.2803,508.1692,
2017-06-25 11:31:15.906,18.0611,957.0718,507.4743,
2017-06-25 11:31:15.922,17.6207,954.0397,507.8265,
2017-06-25 11:31:15.939,17.7715,952.8027,506.2571,
2017-06-25 11:31:15.955,18.28855,949.418,505.7401,
2017-06-25 11:31:15.972,18.1348,948.4412,506.037,
2017-06-25 11:31:15.989,18.0433,946.0641,504.3848,
2017-06-25 11:31:16.006,18.1898,944.0281,505.8932,
2017-06-25 11:31:16.022,17.8955,943.3395,507.9135,
2017-06-25 11:31:16.039,17.96965,945.8541,511.7035,
2017-06-25 11:31:16.055,17.9138,947.6915,518.5875,
2017-06-25 11:31:16.072,18.06815,947.9363,523.2253,
2017-06-25 11:31:16.089,17.78205,948.8943,526.1759,
2017-06-25 11:31:16.105,17.8642,949.5203,534.4314,
2017-06-25 11:31:16.122,17.4494,950.5713,536.1406,
2017-06-25 11:31:16.139,17.01215,951.9063,535.8482,
2017-06-25 11:31:16.155,17.93755,951.7095,541.8198,
2017-06-25 11:31:16.172,17.44415,952.3739,545.9725,
2017-06-25 11:31:16.189,17.28445,951.9077,546.3727,
2017-06-25 11:31:16.205,17.46395,953.0646,554.0583,
2017-06-25 11:31:16.222,17.20735,955.376,556.8321,
2017-06-25 11:31:16.239,17.63095,957.4959,560.1082,
2017-06-25 11:31:16.255,16.788,957.5641,560.2082,
2017-06-25 11:31:16.272,17.27615,957.9007,561.028,
2017-06-25 11:31:16.289,17.2318,956.9592,564.7861,
2017-06-25 11:31:16.305,17.0524,954.9354,565.6603,
2017-06-25 11:31:16.322,16.54595,953.5092,562.9584,
2017-06-25 11:31:16.339,17.1695,954.0654,561.9617,
2017-06-25 11:31:16.355,17.0176,952.7676,562.9289,
